ID,kode,NAMA ITEM DATA,Provinsi,Kabupaten,Alamat,LATITUDE,LONGITUDE,Jenis Museum,Tipe Museum,Pengelola,Foto,Pulau Jawa,Luar Jawa,Pengunjung
101,101,Museum Bumiputera 1912,jawa Tengah,Kota Magelang,Jl. Ahmad Yani Jl. Poncol No.21,-7.472357642,110.2178908,Museum Khusus,Tipe A,AJB Bumiputera 1912,lihat foto,,,3000
102,102,Museum OHD (Oei Hong Djien),jawa Tengah,Kota Magelang,Jl. Jenggolo No.14,-7.48116113,110.2198905,Museum Khusus,Tipe A,Dr. Oei Hong Djien,lihat foto,,,12000
103,103,Museum Glagah Wangi,jawa Tengah,Demak,Jalan Sultan Fatah No. 53,-6.89590993,110.6367637,Museum Khusus,Tipe A,Unit Pelaksana Teknis Daerah,lihat foto,,,2000
104,104,"Museum, Guesthouse & Creative Space Nyah Lasem",jawa Tengah,Rembang,"Gang Karangturi V No. 2, Desa Karangturi,",-6.700849938,111.4477988,Museum Khusus,Tipe A,A. Soesantio dan dikelola oleh Yayasan Lasem Heritage,lihat foto,,,3000
105,105,Museum H. Widayat,jawa Tengah,Magelang,Jl. Soekarno Hatta No.32,-7.600051674,110.2242912,Museum Khusus,Tipe A,PT Haji Widayat,lihat foto,,,5120
106,106,Museum Isdiman,jawa Tengah,Semarang,"Jl. Panjang Lor, Panjang, Kec. Ambarawa, Kabupaten Semarang, Jawa Tengah 50614",-7.25985245,110.4027218,Museum Khusus,Tipe A,Unit Pelaksana Teknis Daerah,lihat foto,,,3120
107,107,Museum Jamu Jago,jawa Tengah,Kota Semarang,Jl. Dr. Setiabudi No.179,-7.064121348,110.3999722,Museum Khusus,Tipe A,Jaya Suprana,lihat foto,,,6000
108,108,Museum Ranggawarsita,jawa Tengah,Kota Semarang,Jalan Abdulrahman Saleh No. 1,-6.985239058,110.3850212,Museum Umum,Tipe A,Pemerintah Provinsi Jawa Tengah,lihat foto,,,1200
109,109,Museum Kailasa,jawa Tengah,Banjarnegara,"Karangsari, Dieng Kulon, Kecamatan Batur, Kabupaten Banjarnegara",-7.208266488,109.9058213,Museum Umum,Tipe A,Pemerintah Kabupaten Banjarnegara,lihat foto,,,400
110,110,Museum Kapal Samudra Raksa,jawa Tengah,Magelang,"Jl. Badrawati, Kw. Candi Borobudur",-7.604505195,110.2039087,Museum Khusus,Tipe A,"PT Taman Wisata Candi Borobudur, Prambanan & Ratu Boko",lihat foto,,,15000
111,111,Museum Karmawibangga Taman Wisata Candi Borobudur,jawa Tengah,Magelang,"Jl. Badrawati, Kw. Candi Borobudur",-7.60394932,110.2043343,Museum Khusus,Tipe A,"PT Taman Wisata Candi Borobudur,",lihat foto,,,14000
112,112,Museum Karst Indonesia,jawa Tengah,Wonogiri,"Desa Gebangharjo, Kecamatan Pracimantoro, Kabupaten Wonogiri, Jawa Tengah",-8.041325389,110.7817752,Museum Khusus,Tipe A,Pemerintah Kabupaten Wonogiri,lihat foto,,,300
113,113,Museum Keris Nusantara,jawa Tengah,Kota Surakarta,Jalan Bhayangkara No. 2,-7.568393078,110.8123957,Museum Khusus,Tipe A,Dinas Kebudayaan Kota Surakarta,lihat foto,,,11000
114,114,Museum Kretek,jawa Tengah,Kudus,Jalan Getas Pejaten No. 155,-6.826568543,110.8391244,Museum Khusus,Tipe A,Dinas Kebudayaan dan Pariwisata Kabupaten Kudus,lihat foto,,,1000
115,115,Museum Mahameru Blora,jawa Tengah,Blora,"Jalan Reksodiputro, Kompleks Taman Tirtonadi",-6.974100502,111.4181414,Museum Khusus,Tipe A,Yayasan Mahameru,lihat foto,,,40000
116,116,Museum Manusia Purba Klaster,jawa Tengah,Sragen,"Kecamatan Kalijambe, Kabupaten Sragen",-7.44119203,110.8384722,Museum Khusus,Tipe A,Balai Pelestarian Situs Manusia Purba Sangiran,lihat foto,,,17000
117,117,Museum Masjid Agung Demak,jawa Tengah,Demak,Jalan Sultan Patah No. 57,-6.894326678,110.6371137,Museum Khusus,Tipe A,Dinas Kebudayaan dan Pariwisata Kabupaten Demak,lihat foto,,,17000
118,118,Museum Misi Muntilan,jawa Tengah,Magelang,Jl. Kartini No.3,-7.581503857,110.2935774,Museum Khusus,Tipe A,Keuskupan Agung Semarang,lihat foto,,,798
119,119,Museum Panglima Besar Jenderal Sudirman,jawa Tengah,Banyumas,"Jl. Patimura No.240A, RW.1, Dusun II",-7.419594408,109.1967874,Museum Khusus,Tipe A,Pemerintah Kabupaten Banyumas,lihat foto,,,800
120,120,Museum Perjuangan Mandala Bhakti,jawa Tengah,Kota Semarang,Jalan Mgr Soegijapranata No.1,-6.98457916,110.4098819,Museum Khusus,Tipe A ,"Kodam IV/Diponegoro,",lihat foto,,,400
121,121,Museum Prof. Dr. R. Soegarda Poerbakawatja,jawa Tengah,Purbalingga,Jl. Purbalingga - Klampok No.142,-7.38828216,109.3621687,Museum Khusus,Tipe A,Dinas Pendidikan dan Kebudayaan Kabupaten Purbalingga,lihat foto,,,7500
122,122,Museum R. Hamong Wardoyo,jawa Tengah,Boyolali,"Jl. Pandanaran No.19, ",-7.538765087,110.6173551,Museum Umum,Tipe A,Pemerintah Kabupaten Boyolali,lihat foto,,,3000
123,123,Museum RA Kartini Jepara,jawa Tengah,Jepara,"Jl. Kartini, Panggang I",-6.588663282,110.6682883,Museum Umum,Tipe C,Dinas Pariwisata dan Kebudayaan Kabupaten Jepara,lihat foto,,,12000
124,124,Museum R.A. Kartini Rembang,jawa Tengah,Rembang ,Jl. Gatot Subroto No.8,-6.707088439,111.3513255,Museum Khusus,Tipe C,Dinas Kebudayaan dan Pariwisata Kabupaten Rembang,lihat foto,,,1200
125,125,Museum Radya Pustaka,jawa Tengah,Kota Surakarta,Jl. Slamet Riyadi No.275,-7.568313368,110.8153016,Museum Umum,Tipe C,Yayasan Paheman Radya Pustaka Surakarta,lihat foto,,,3000
126,126,Museum Situs Purbakala Patiayam,jawa Tengah,Kudus,"Desa Terban, Kecamatan Jekulo, Kabupaten Kudus, Jawa Tengah",-6.793725898,110.9389302,Museum Khusus,Tipe C,Dinas Kebudayaan dan Pariwisata Kabupaten Kudus,lihat foto,,,5120
127,127,Museum Soesilo Soedarman,jawa Tengah,Cilacap,"Desa Gentasari, Kecamatan Kroya, Kabupaten Cilacap, Jawa Tengah",-7.600291332,109.2124838,Museum Khusus,Tipe C,Yayasan Museum Soesilo Soedarman,lihat foto,,,3120
128,128,Museum Taruna Abdul Djalil,jawa Tengah,Kota Magelang, Jl. Jend. Gatot Soebroto No.1,-7.500175774,110.2100402,Museum Khusus,Tipe C,Akademi Militer (Akmil),lihat foto,,,6000
129,129,Museum Tosan Aji,jawa Tengah,Purwerojo,Jl. Mayjen Sutoyo No.10,-7.710890683,110.0103682,Museum Khusus,Tipe C,Pemerintah Kabupaten Purworejo,lihat foto,,,500
130,130,Museum Uang Purbalingga,jawa Tengah,Purbalingga,"Jalan Raya Kutasari-Tobo, Dusun II",-7.35570738,109.33127,Museum Khusus,Tipe C,Pemerintah Daerah Kabupaten Purbalingga dan dikelola oleh Dinas Pariwisata dan Kebudayaan Kabupaten Purbalingga,lihat foto,,,400
131,131,Museum Universitas Sebelas Maret (Museum UNS),jawa Tengah,Surakarta,Gedung R.Ng. Ranggawarsita,-7.556828872,110.8601103,Museum Khusus,Tipe C,UNS melalui Pusat Unggulan Iptek (PUI) Javanologi,lihat foto,,,13000
132,132,Museum Usman Janatin,jawa Tengah,Purbalingga,"Jalan Letnan Kusni No. 77, Dusun 3",-7.402437093,109.3971299,Museum Khusus,Tipe C,Keluarga Usman Janatin,lihat foto,,,12000
133,133,Museum Wayang dan Artefak Purbalingga,jawa Tengah,Purbalingga,"Jalan Raya Taman Reptil, Dusun II, Desa Kutasari",-7.356238685,109.3304234,Museum Khusus,Tipe C,Unit Pelaksana Teknis (UPT) PD Owabong,lihat foto,,,300
134,134,Museum Wayang Banyumas,jawa Tengah,Banyumas,Jl. Budi Utomo No.1,-7.514612005,109.2948313,Museum Khusus,Tipe C,"Dinas Pemuda, Olahraga, Kebudayaan, dan Pariwisata",lihat foto,,,11000
135,135,Tumurun Private Museum,jawa Tengah,Surakarta,"Jl. Kebangkitan Nasional No. 2/4,",-7.570289548,110.8167334,Museum Khusus,Tipe C,PT Sri Rejeki Isman,lihat foto,,,10000
136,136,Monumen Yogya Kembali,D.I Yogyakarta,Siemen,"Jl. Ring Road Utara, Jongkang",-7.748782455,110.3724392,Museum Khusus,Tipe B,TNI Angkatan Udara,lihat foto,,,4000
137,137,Museum Affandi,D.I Yogyakarta,Kabupaten Sleman,Jl. Laksda Adisucipto No.167,-7.782027879,110.3982019,Museum Khusus,Tipe B,Yayasan Affandi,lihat foto,,,20000
138,138,Museum Bahari Yogyakarta,D.I Yogyakarta,Kabupaten Bantul,Jl. R. E. Martadinata No.69,-7.80094926,110.3489575,Museum Khusus,Belom Memenuhi Standar,Paguyuban Tri Sekar Lestari bekerja sama dengan Pangkalan TNI AL ,lihat foto,,,16000
139,139,Museum Benteng Vredeburg,D.I Yogyakarta,Kota Yogyakarta,Jl. Margo Mulyo No.6,-7.799970706,110.367565,Museum Khusus,Tipe A,Museum Benteng Vredeburg Yogyakarta dikelola oleh Indonesian Heritage Agency ,lihat foto,,,32000
140,140,Museum Biologi Fakultas Biologi Universitas Gadjah Mada,D.I Yogyakarta,Kota Yogyakarta,Jl. Sultan Agung No.22,-7.801533777,110.3746831,Museum Khusus,Tipe A,Fakultas Biologi UGM,lihat foto,,,800
141,141,Museum Dewantara Kirti Griya,D.I Yogyakarta,Kota Yogyakarta,Jl. Taman Siswa No. 31,-7.805217633,110.3791744,Museum Khusus,Tipe A,"Majelis Luhur Persatuan Tamansiswa, dengan staf bidang pendidikan dan kebudayaan",lihat foto,,,400
142,142,Museum Geoteknologi Mineral,D.I Yogyakarta,Kabupaten Sleman ,Jl. Babarsari No. 2 ,-7.781465831,110.4151354,Museum Khusus,Tipe A,"Fakultas Teknologi Mineral dan Energi UPN ""Veteran"" Yogyakarta",lihat foto,,,12000
143,143,Museum Gumuk Pasir,D.I Yogyakarta,Kabupaten Bantul,"Depok, Parangtritis, Kec. Kretek, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55772",-8.009043329,110.3025855,Museum Khusus,Tipe A,"Badan Informasi Geospasial (BIG), Fakultas Geografi Universitas Gadjah Mada (UGM), dan Pemerintah Daerah Istimewa Yogyakarta.",lihat foto,,,25000
144,144,Museum Gunungapi Merapi,D.I Yogyakarta,Kabupaten Sleman,Jl. Kaliurang No.Km. 22,-7.615748093,110.4246387,Museum Khusus,Tipe A,"UPTD Museum Gunungapi Merapi, di bawah Pemerintah Kabupaten Sleman dan Badan Geologi",lihat foto,,,45000
145,145,Museum Kayu Wanagama,D.I Yogyakarta,Kabupaten Gunungkidul,"Hutan Wisata Wanagama, Desa Bunder, Playen, Gunungkidul, Yogyakarta",-7.893238313,110.5474759,Museum Khusus,Tipe A,Fakultas Kehutanan Universitas Gadjah Mada,lihat foto,,,1200
146,146,Museum Kereta Kraton Yogyakarta,D.I Yogyakarta,Kota Yogyakarta,"Jl. Rotowijayan, Kadipaten",-7.8052863,110.3622895,Museum Khusus,Tipe A,Kesultanan Ngayogyakarta Hadiningrat,lihat foto,,,3120
147,147,Museum Memorial Jenderal Besar HM Soeharto,D.I Yogyakarta,Kabupaten Bantul," Jl. Kemusuk Lor Jl. Nulis-Puluhan, ",-7.791062577,110.2807322,Museum Khusus,Tipe A,"Keluarga Besar Soeharto, melalui H. Probosutedjo",lihat foto,,,6000
148,148,Museum Pergerakan Wanita Indonesia Mandala Bhakti Wanitatama,D.I Yogyakarta,Kabupaten Sleman, Jl. Laksda Adisucipto No.88,-7.783745313,110.3922369,Museum Khusus,Tipe A,Yayasan Hari Ibu,lihat foto,,,500
149,149,Museum Monumen Pangeran Diponegoro Sasana Wiratama,D.I Yogyakarta,Kota Yogyakarta,Jl. HOS Cokroaminoto TR-III No.430,-7.786935475,110.3517362,Museum Khusus,Tipe A,Yayasan Sasana Wiratama,lihat foto,,,400
150,150,Museum Pendidikan Indonesia,D.I Yogyakarta,Kabupaten Sleman,Jalan Colombo No+H152. 1,-7.774522576,110.3877058,Museum Khusus,Tipe A,Universitas Negeri Yogyakarta,lihat foto,,,13000
151,151,Museum Perjuangan Yogyakarta,D.I Yogyakarta,Kota Yogyakarta,Jl. Kolonel Sugiyono No.24,-7.816255426,110.3720655,Museum Khusus,Tipe A ,Dinas Kebudayaan Daerah Istimewa Yogyakarta,lihat foto,,,12000
152,152,Museum Pusat TNI AD Dharma Wiratama,D.I Yogyakarta,Kota Yogyakarta,Jl. Jend. Sudirman No.75,-7.782711392,110.3759682,Museum Khusus,Tipe A,Tentara Nasional Indonesia Angkatan Darat,lihat foto,,,300
153,153,Museum Dr. Yap Prawirohusodo,D.I Yogyakarta,Kota Yogyakarta,Jl. Cik Di Tiro No.5,-7.779939651,110.3747397,Museum Khusus,Tipe A,Dinas Kebudayaan Kota Yogyakarta,lihat foto,,,11000
154,154,Museum Sandi,D.I Yogyakarta,Kota Yogyakarta,Jl. Faridan M Noto No.21,-7.783917102,110.374073,Museum Khusus,Tipe A,Badan Siber dan Sandi Negara (BSSN),lihat foto,,,10000
155,155,Museum Sasmitaloka Panglima Besar Jenderal Sudirman,D.I Yogyakarta,Kota Yogyakarta,Jl. Bintaran Wetan No.3,-7.802129072,110.3760304,Museum Khusus,Tipe A,Tentara Nasional Indonesia Angkatan Darat (TNI AD),lihat foto,,,32000
156,156,Museum Sejarah Purbakala Pleret,D.I Yogyakarta,Kabupaten Bantul,"Jl. Pleret, Kedaton, Pleret",-7.868368803,110.4055939,Museum Khusus,Tipe C,Dinas Kebudayaan Provinsi Daerah Istimewa Yogyakarta,lihat foto,,,19000
157,157,Museum Sonobudoyo Unit I,D.I Yogyakarta,Kota Yogyakarta,Jl. Pangurakan No.6,-7.801746765,110.3663576,Museum Khusus,Tipe c,Unit Pelaksana Teknis Daerah (UPTD) Dinas Kebudayaan Daerah Istimewa Yogyakarta,lihat foto,,,22000
158,158,Museum Sonobudoyo Unit II,D.I Yogyakarta,Kota Yogyakarta,Jl. Wijilan No.27D,-7.804229552,110.3668644,Museum Umum,Tipe A,Dinas Kebudayaan Daerah Istimewa Yogyakarta,lihat foto,,,50000
159,159,Museum Tani Jawa Indonesia,D.I Yogyakarta,Kabupaten Bantul,"Kampung Tani Candran, Desa Kebonagung, Imogiri, Bantul, Yogyakarta.",-7.924368128,110.371972,Museum Khusus,Tipe C,Yayasan Museum Tani Jawa Indonesia,lihat foto,,,3000
160,160,Museum Tembi Rumah Budaya,D.I Yogyakarta,Kabupaten Bantul,Jl. Parangtritis No.Km 8.4,-7.869944403,110.3570317,Museum Khusus,Tipe C,dikelola secara mandiri,lihat foto,,,12000
161,161,Museum Pusat TNI AU Dirgantara Mandala,D.I Yogyakarta,Kabupaten Sleman,"Jl. Raya Janti, Karang Janbe",-7.790202533,110.415887,Museum Khusus,Tipe A,Tentara Nasional Indonesia Angkatan Udara,lihat foto,,,2000
162,162,Museum Ullen Sentalu,D.I Yogyakarta,Kabupaten Sleman,Jl. Boyong No.KM 25,-7.597227521,110.4214647,Museum Khusus,Tipe A,Lembaga pemerintah pusat,lihat foto,,,3000
163,163,Museum Universitas Gadjah Mada ,D.I Yogyakarta,Kabupaten Sleman, Jl. Sagan 6 & D-7,-7.773893339,110.3781814,Museum Umum,Tipe B,Universitas Gadjah Mada,lihat foto,,,5120
164,164,Museum Wayang Kekayon,D.I Yogyakarta,Kabupaten Bantul,Jalan Raya Yogya-Wonosari Km 7 No. 277,-7.814476971,110.4135217,Museum Khusus,Tipe B,Yayasan Sosial Kekayon,lihat foto,,,3120
165,165,Museum Geopark Gunungsewu,Jawa Timur ,Kabupaten Pacitan,awasan Wisata Pantai Pancerdoor,-8.216884455,111.102127,Museum Khusus,Tipe B,Pemerintah Kabupaten Pacitan,lihat foto,,,6000
166,166,ndonesian Islamic Art Museum,Jawa Timur ,Kabupaten Lamongan,"Jl. Raya Paciran, Paciran",-6.866678507,112.3618515,Museum Khusus,Tipe A,Dinas Pariwisata dan Kebudayaan Kabupaten Lamongan.,lihat foto,,,1200
167,167,Museum Dr. Soetomo,Jawa Timur ,Kota Surabaya,Jl. Bubutan No.85-87,-7.250222662,112.7377714,Museum Khusus,Tipe B,"Pemerintah Kota Surabaya melalui Dinas Kebudayaan, Kepemudaan, dan Olahraga Kota Surabaya",lihat foto,,,400
168,168,Monumen Kapal Selam (Monkasel),Jawa Timur ,Kota Surabaya,Jl. Pemuda No.39,-7.264962121,112.7515497,Museum Khusus,Tipe A,"Pusat Koperasi Angkatan Laut (Puskopal), yang berkoordinasi dengan Tentara Nasional Indonesia Angkatan Laut ",lihat foto,,,15000
169,169,Museum Airlangga,Jawa Timur ,Kota Kediri,"Jl. Lingkar Maskumambang, Pojok",-7.80735474,111.9742905,Museum Khusus,Tipe B,"Pemerintah Kota Kediri melalui Dinas Kebudayaan, Pariwisata, Pemuda, dan Olahraga (Disbudparpora) Kota Kediri.",lihat foto,,,14000
170,170,Museum Angkut,Jawa Timur ,Kota Batu,Jl. Terusan Sultan Agung No.2,-7.878061825,112.5225713,Museum Khusus,Tipe A,Jawa Timur Park Group,lihat foto,,,300
171,171,Museum Anjuk Ladang,Jawa Timur ,Kabupaten Nganjuk,Jalan Gatot Subroto Ringin Anom Ringin Anom Kauman ,-7.593029162,111.8946278,Museum Umum,Tipe C,"Dinas Pariwisata, Kepemudaan, Olahraga, dan Kebudayaan (Disparporabud) Kabupaten Nganjuk",lihat foto,,,11000
172,172,Museum Blambangan,Jawa Timur ,Kabupaten Banyuwangi,Jl. Jenderal Ahmad Yani No.78,-8.22061674,114.3687316,Museum Umum,Tipe B,Dinas Kebudayaan dan Pariwisata Kabupaten Banyuwangi,lihat foto,,,1000
173,173,Museum Boemi Poeger,Jawa Timur ,Kabupaten Jember,"RT. 05 RW.06, Dusun Krajan, Desa Kencong,",-8.270248795,113.3692449,Museum Umum,Tipe C,Yayasan Boemi Poeger Persada,lihat foto,,,40000
174,174,Museum Brawijaya,Jawa Timur ,Kota malang,Jl. Besar Ijen No.25A,-7.971930614,112.621606,Museum Umum,Tipe B,Kodam V/Brawijaya,lihat foto,,,17000
175,175,Museum Cakraningrat,Jawa Timur ,Kabupaten Bangkatan,Jl. Soekarno Hatta No.35,-7.048382729,112.7359562,Museum Umum,Tipe C,Pemerintah Kabupaten Bangkalan melalui Dinas Kebudayaan dan Pariwisata Kabupaten Bangkalan,lihat foto,,,17000
176,176,Museum D'Topeng Kingdom 1,Jawa Timur ,Kota Batu,"Jl. Kartika No.2, Sisir, Kec. Batu",-7.715209438,112.6567417,Museum Umum,Tipe C,Jawa Timur Park Group,lihat foto,,,798
177,177,Museum Sunan Giri,Jawa Timur ,Kabupaten Gresik,Jl. Sunan Giri No.2a,-7.169958574,112.6311936,Museum Khusus,Tipe A,"Dinas Pariwisata, Kebudayaan, Pemuda, dan Olahraga (Disparekrafbudpora) Kabupaten Gresik",lihat foto,,,800
178,178,Museum Daerah Kabupaten Lumajang,Jawa Timur ,Kabupaten Lumajang,"Jl. Alun-Alun Barat No. 1, Lumajan",-8.07519221,113.2371602,Museum Khusus,Tipe B,Pemerintah Kabupaten Lumajang,lihat foto,,,400
179,179,Museum Etnografi dan Pusat Kajian Kematian Universitas Airlangga,Jawa Timur ,kota Surabaya," Jl. Dharmawangsa Dalam, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286",-7.272188389,112.7605944,Museum Umum,Tipe B,"Departemen Antropologi, Fakultas Ilmu Sosial dan Ilmu Politik",lihat foto,,,7500
180,180,Museum Dirgantara A. Sulaksono,Jawa Timur ,Kabupaten Malang,"Krajan, Saptorenggo, Kecamatan Pakis",-7.929226693,112.7040451,Museum Khusus,Tipe B,Tentara Nasional Indonesia Angkatan Udara,lihat foto,,,3000
181,181,Museum dr. Mohammad Saleh,Jawa Timur ,Kota Probolingo,Jl.DR Jl. Dr. Moch Saleh No.1,-7.752195223,113.2142367,Museum Pribadi,Tipe C,Dinas Kebudayaan dan Pariwisata Kota,lihat foto,,,12000
182,182,Museum Dr. Soetomo,Jawa Timur ,Kota Surabaya,Jl. Bubutan No.85-87,-7.250576049,112.7365863,Museum Khusus,Tipe C,UPTD Museum dan Gedung Seni Budaya,lihat foto,,,1200
183,183,Museum Gubug Wayang Mojokerto,Jawa Timur ,Kota Mojokerto,Jl. Kartini No.23,-7.465455721,112.4312476,Museum Khusus,Tipe B,Sendjojo Njoto Seni Budoyo,lihat foto,,,3000
184,184,Gedung Teater dan Museum Gunung Kelud,Jawa Timur ,Kabupaten Kediri,"Rejomulyo, Sugihwaras, Kecamatan Ngancar, Kabupaten Kediri, Jawa Timur 64291, Indonesia .",-7.926609345,112.2364837,Museum Khusus,Tipe C,Pemerintah Kabupaten Kediri,lihat foto,,,5120
185,185,Museum Huruf Jember,Jawa Timur ,Kabupaten Jember,Jl. Bengawan Solo No.27,-8.167785812,113.7098798,Museum Khusus,Tipe C,Institut Museum dan Cagar Budaya Nusantara,lihat foto,,,3120
186,186,Museum Kambang Putih,Jawa Timur ,Kabupaten Tuban,"JL. Kartini No.03, Kutorejo, Kec. Tuban, Kabupaten Tuban, Jawa Timur 62311",-6.895847766,112.0638883,Museum Umum,Tipe B,"Dinas Kebudayaan, Pariwisata, Pemuda, dan Olahraga (Disparbudpora) Kabupaten Tuban",lihat foto,,,6000
187,187,Museum Kanker Indonesia,Jawa Timur ,Kota Surabaya,Jl. Kayoon No.16-18,-7.267205084,112.7493503,Museum Khusus,Belom Memenuhi Standar,Yayasan Kanker Wisnuwardhana,lihat foto,,,500
188,188,Museum Keraton Sumenep,Jawa Timur ,Kota Sumenap, Jl. Dr. Sutomo No.6,-7.007957863,113.8634667,Museum Umum,Tipe C,"Dinas Kebudayaan, Kepemudaan, Olahraga, dan Pariwisata Kabupaten Sumenep melalui Unit Pelaksana Teknis ",lihat foto,,,400
189,189,Museum Kereta Api Bondowoso,Jawa Timur ,Bondowoso,Jl. Imam Bonjol No. 13,-7.916806047,113.8299079,Museum Khusus,Belom Memenuhi Standar,PT Kereta Api Indonesia ,lihat foto,,,13000
190,190,"Museum Kesehatan Dr. Adhyatma, MPH",Jawa Timur ,Kota Surabaya,Jl. Indrapura No.17,-7.240168343,112.7319996,Museum Khusus,Belom di standarisasi,Pusat Penelitian dan Pengembangan Sistem dan Kebijakan Kesehatan Kementerian Kesehatan Republik Indonesia,lihat foto,,,12000
191,191,Museum Tembakau Jember,Jawa Timur ,Kabupaten Jember,Jl. Kalimantan No.1,-8.158731407,113.7148541,Museum Khusus,Belom di standarisasi,Unit Pelaksana Teknis (UPT) Pengujian Sertifikasi Mutu Barang dan Lembaga Tembakau Jember,lihat foto,,,300
192,192,Museum Musik Indonesia,Jawa Timur ,Kota malang, Jl. Soekarno Hatta No.210,-7.940283269,112.6193146,Museum Khusus,Tipe B,Galeri Malang Bernyanyi,lihat foto,,,11000
193,193,Museum Nahdlatul Ulama,Jawa Timur ,Kota Surabaya,Jl. Gayungsari Bar. X No.11,-7.337900878,112.7244322,Museum Khusus,Tipe B,Nahdlatul Ulama,lihat foto,,,10000
194,194,Museum Negeri Mpu Tantular,Jawa Timur ,Kabupaten Sidoajo,Jl. Raya Buduran - Jembatan Layang,-7.433458858,112.7207464,Museum Umum,Tipe B,Dinas Kebudayaan dan Pariwisata Provinsi Jawa Timur,lihat foto,,,4000
195,195,Museum Indonesian Old Cinema,Jawa Timur ,Kota malang,Jl. Soekarno Hatta No.45,-7.937080501,112.628084,Museum Khusus,Tipe B,Drs. Hariadi,lihat foto,,,20000
196,196,Museum Panji,Jawa Timur ,Kota malang,Jl. Raya Bangilan No.I,-8.002071044,112.7325067,Museum Khusus,Tipe B,ayasan Inggil Malang,lihat foto,,,16000
197,197,Museum Penataran,Jawa Timur ,Kabupaten Blitar,Jl. Raya Penataran No.11,-8.012187658,112.2097264,Museum Khusus,Tipe A,"Dinas Pariwisata, Kebudayaan, Pemuda, dan Olahraga ",lihat foto,,,32000
198,198,Museum Pendidikan Kota Malang,Jawa Timur ,Kota Malang,"Jl. Raya Tlogowaru, Tlogowaru",-8.034247192,112.6498802,Museum Khusus,Tipe B,Dinas Pendidikan dan Kebudayaan,lihat foto,,,800
199,199,Museum Hidup Polrestabes Surabaya,Jawa Timur ,Kota Surabaya,Jl. Sikatan No.1,-7.239104923,112.7380367,Museum Khusus,Tipe A,Polrestabes Surabaya,lihat foto,,,400
200,200,Museum Potehi Gudo,Jawa Timur ,Jombang,"Jalan Raya Wangkal, Dusun Tukangan,",-7.627507414,112.1916805,Museum Khusus,Tipe A,Yayasan Fu He An Indonesia,lihat foto,,,12000
201,201,Museum Singhasari,Jawa Timur ,Kota malang,"Krajan, Klampok, Kec. Singosari, Kabupaten Malang, Jawa Timur 65153",-7.881001687,112.6416823,Museum Khusus,Tipe C,Dinas Pariwisata dan Kebudayaan Kabupaten Malang,lihat foto,,,25000
202,202,Museum Teknoform,Jawa Timur ,Kota surabaya,"Jl. Raya Kedung Baruk No.98, Kedung Baruk, Kec. Rungkut, Surabaya, Jawa Timur 60298",-7.311225161,112.7831826,Museum Umum,Tipe C,Universitas Dinamika,,,,45000
,,Museum Sri Serindit Natuna,Kepulauan Riau,Kabupaten Natuna,JL. IMAM H. ISMAIL,3.94916197,108.3679246,Museum Umum,Tipe C,Zaharuddin,,,,1200
,,Museum Islam Samudra Pasai Kabupaten Aceh Utara,Aceh,Kabupaten Aceh Utara,Gampong Beuringen Kecamatan Samudera,5.132788383,97.20205579,Museum Umum,Tipe C,Dinas Pendidikan Dan Kebudayaan Kabupaten Aceh Utara,,,,3120
,,Museum Kota Langsa,Aceh,Kota Sabang,Jl. Ahmad Yani,4.471378134,97.96692922,Museum Umum ,Tipe B,Dinas Pendidikan Dan Kebudayaan Kabupaten Aceh Utara,,,,6000
,,Museum Sabang,Aceh,Kota Sabang,Jl. O. Surapati,5.899461744,95.3161835,Museum Umum,Tipe C,Badan Pengusahaan Kawasan Perdagangan Bebas Dan Pelabuhan Bebas (BPKS),,,,500
,,Museum Aceh,Aceh,Kota Banda Aceh,Jl. Sultan Alaiddin Mahmudsyah No.12,5.548723392,95.32093808,Museum Umum,Tipe A,Dinas Kebudayaan Dan Pariwisata Aceh,,,,400
,,Museum Tsunami,Aceh,Kota Banda Aceh,Jl Sultan Iskandar Muda No.3 Blang Padang,5.547990543,95.31520619,Museum Khusus,Tipe B,Dinas Kebudayaan Dan Pariwisata Aceh,,,,13000
,,Museum Negeri Gayo,Aceh,Kabupaten Aceh Tengah,Jl. Mess Time Ruang,4.702341401,96.8358472,Museum Umum,Tipe C,Dinas Pendidikan Dan Kebudayaan Kabupaten Aceh Tengah,,,,12000
,,Museum Pidie Jaya,Aceh,Kabupaten Pidie Jaya,Taman Kota Komplek Perkantoran Bupati,5.229961204,96.24261824,Museum Umum,Belum Distandarisasi,DINAS PENDIDIKAN DAN KEBUDAYAAN,,,,300
,,Museum Kota Juang Bireuen,Aceh,Kabupaten Bireuen,Jln.Tgk. Pulo Kiton Lr.Hob Mubin No. 30,5.208105114,96.69941236,Museum Umum,Belum Distandarisasi,Yayasan Museum Kota Juang Bireuen,,,,11000
,,Rahmat International Wildlife Museum & Gallery,Sumatera Utara,Kota Medan,Jl. S. Parman no. 309 Medan,3.579486598,98.66746378,Museum Khusus,Tipe C,Yayasan Rahmat Indonesia,,,,10000
,,Museum Pahlawan Nasional Jamin Gintings,Sumatera Utara,Kabupaten Karo,Jl. Museum Suka,3.061094457,98.52056131,Museum Khusus,Tipe A,Keluarga Jamin Gintings,,,,32000
