fid	Museum_ID	Museum_kod	Museum_NAM	Museum_Pro	Museum_Kab	Museum_Ala	Museum_LAT	Museum_LON	Museum_Jen	Museum_Tip	Museum_Pen	Museum_Fot	Museum_P_1	Museum_Kar
17	"17"	"17"	Museum Benda-Benda Alkitab Yerushalayim	Jakarta	jakarta utara	"JL. Raya Jl. Sengon No.54, RT.1/RW.022, Klp. Gading Bar., Kec. Klp. Gading"	-6.141584220000000	106.902275799999998	Museum Khusus	Belum Memenuhi Standar	Kementerian Pendidikan dan Kebudayaan	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\17.jpg	300.000000000000000	90.000000000000000
18	"18"	"18"	Museum BNI 1946	Jakarta	Jakarta Barat	"Jl. Lada No.27, RT.4/RW.6, Pinangsia, Kec. Taman Sari, Kota Jakarta Barat"	-6.135952200000000	106.815509800000001	Museum Khusus	Belom di standarisasi	PT Bank Negara Indonesia	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\18.jpg	11000.000000000000000	48.000000000000000
19	"19"	"19"	Museum Ciputra Artpreneur	Jakarta	Jakarta Selatan	"Jl. Prof. DR. Satrio No.Kav. 3-5 Level 11, Kuningan, Karet Kuningan"	-6.223872909000000	106.822812799999994	Museum Khusus	Belum  Memenuhi standar	Citra Art Management	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\19.jpg	10000.000000000000000	50.000000000000000
20	"20"	"20"	Museum Dharma Bhakti Kostrad	Jakarta	Jakarta Timur	"Jl. Cilangkap, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13870"	-6.316968784000000	106.913789100000002	Museum Khusus	Tipe B	Komando Strategis Angkatan Darat	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\20.jpg	4000.000000000000000	25.000000000000000
21	"21"	"21"	Museum di Tengah Kebun	Jakarta	Jakarta Selatan	"Jl. Kemang Timur No.66 7, RT.7/RW.3, Bangka, Kec. Mampang Prpt"	-6.266873117000000	106.825995300000002	Museum Swasta	Belum Memenuhi Standar	Mirza Djalil	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\21.jpg	20000.000000000000000	5.000000000000000
22	"22"	"22"	Museum DPR RI	Jakarta	Jakarta Pusat	"Jl. Gatot Subroto Lantai 2, Gelora, Kecamatan Tanah Abang"	-6.210167337000000	106.800332800000007	Museum Khusus	Tipe B	Sekretariat Jenderal Dewan Perwakilan Rakyat Republik Indonesia	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\22.jpg	16000.000000000000000	7.000000000000000
23	"23"	"23"	Museum Fauna Indonesia “Komodo” dan Taman Reptilia	Jakarta	Jakarta Timur	"Jl. Taman Mini Indonesia Indah, RW.2, Ceger, Kec. Cipayung"	-6.303598906000000	106.901649100000000	Museum Khusus	Tipe C	Yayasan Harapan Kita	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\23.jpg	32000.000000000000000	76.000000000000000
24	"24"	"24"	Museum Graha Widya Patra (Minyak dan Gas Bumi)	Jakarta	Jakarta Timur	"Jl. Taman Mini Indonesia Indah, Bambu Apus, Kec. Cipayung"	-6.302075408000000	106.905479700000001	Museum Khusus	Tipe B	PT Pertamina	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\24.jpg	800.000000000000000	34.000000000000000
25	"25"	"25"	Museum Hakka Indonesia	Jakarta	Jakarta Timur	"Jl.Raya Taman Mini, Ceger, Kecamatan Cipayung"	-6.305094859000000	106.904696999999999	Museum Khusus	Tipe B	Yayasan Hakka Indonesia Sejahtera	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\25.jpg	400.000000000000000	24.000000000000000
26	"26"	"26"	Museum Harry Darsono	Jakarta	Jakarta Selatan	"Jl. Cilandak Tengah Raya No.71, RT.2/RW.13, Cilandak Bar., Kec. CilandaK"	-6.288785879000000	106.800758099999996	Museum Pribadi	Belum Memenuhi Standar	"Sir Dr. Harry Darsono, PhD,"	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\26.jpg	12000.000000000000000	34.000000000000000
