fid	Museum_ID	Museum_kod	Museum_NAM	Museum_Pro	Museum_Kab	Museum_Ala	Museum_LAT	Museum_LON	Museum_Jen	Museum_Tip	Museum_Pen	Museum_Fot	Museum_P_1	Museum_Kar
67	"67"	"67"	Museum Galuh Pakuan	jawa barat	Ciamis	Jl. K.H. Ahmad Dahlan No. 53	-7.332612976000000	108.350524100000001	Museum Khusus	Tipe C	Ilham Purwa	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\67.jpg	3000.000000000000000	70.000000000000000
68	"68"	"68"	Museum Gedung Perundingan Linggarjati	jawa barat	Kuningan	"Desa Linggarjati, Kecamatan Cilimus, Kabupaten Kuningan, Jawa Barat"	-6.881062620000000	108.475649099999998	Museum Khusus	Tipe C	Dinas Pendidikan Dan Kebudayaan Kuningan	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\68.jpg	5120.000000000000000	90.000000000000000
69	"69"	"69"	Museum Gedung Pusaka Keraton Kanoman	jawa barat	Kota Cirebon	"Jl.Merdeka No. 28, Kelurahan Lemahwungkuk, Kota Cirebon, Jawa Barat"	-6.722783027000000	108.568585900000002	Museum Khusus	Tipe C	P.R.M. Hamzah	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\69.jpg	3120.000000000000000	48.000000000000000
70	"70"	"70"	Museum Gedung Sate	jawa barat	Kota Bandung	Jl.Diponegoro No.22	-6.901572792000000	107.619941499999996	Museum Khusus	Tipe C	Biro Umum & Biro Humas & Keprotokolan	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\70.jpg	6000.000000000000000	50.000000000000000
71	"71"	"71"	Museum Geologi Bandung	jawa barat	Kota Bandung	Jl.Diponegoro No.57	-6.899906715000000	107.623000300000001	Museum Khusus	Tipe A	Unit Pelaksaan Teknis Museum Geologi	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\71.jpg	500.000000000000000	25.000000000000000
72	"72"	"72"	Museum Kepresidenan Republik Indonesia “Balai Kirti”	jawa barat	Kota Bogor	Jl. Ir. H. Juanda No.1	-6.598296000000000	106.795109800000006	Museum Khusus	Tipe B	"Kementrian Pendidikan ,Kebudayaan,Riset dan Teknologi"	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\72.jpg	400.000000000000000	5.000000000000000
73	"73"	"73"	Museum Keraton Kacirebonan	jawa barat	Kota Cirebon	Jalan Kasepuhan No. 43	-6.724441206000000	108.566257199999995	Museum Khusus	Tipe A	Dinas Kebudayaan dan Pariwisata Kota Cirebon	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\73.jpg	13000.000000000000000	7.000000000000000
74	"74"	"74"	Museum Konferensi Asia Afrika	jawa barat	Kota Bandung	JL. Asia Afrika No. 65	-6.920257139000000	107.611516499999993	Museum Khusus	Tipe A	Direktorat Jenderal Informasi dan Diplomasi Publik Kementerian Luar Negeri Republik Indonesia	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\74.jpg	12000.000000000000000	76.000000000000000
75	"75"	"75"	Museum Mandala Wangsit Siliwangi	jawa barat	Kota Bandung	"JL.Mayor Lembong No. 38,"	-6.917059224000000	107.610468800000007	Museum Khusus	Belom Memenuhi Standar	Tentara Nasional Indonesia (TNI) melalui Komando Daerah Militer (Kodam) III/Siliwangi	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\75.jpg	300.000000000000000	34.000000000000000
76	"76"	"76"	Museum Nasional Sejarah Alam Indonesia	jawa barat	Kota Bogor	Jl.IR.H.Juanda No. 22-24	-6.597969661000000	106.795722999999995	Museum Khusus	Tipe B	Pusat Penelitian Biologi - LIPI	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\76.jpg	11000.000000000000000	24.000000000000000
77	"77"	"77"	Museum Negeri Provinsi Jawa Barat Sri Baduga	jawa barat	Kota Bandung	JL. BKR No. 185	-6.937480120000000	107.604114499999994	Museum Umum	Tipe A	Dinas Pariwisata dan Kebudayaan Provinsi Jawa Barat	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\77.jpg	10000.000000000000000	34.000000000000000
78	"78"	"78"	Museum Nyamuk Loka Litbang P2B2 Ciamis	jawa barat	Pangandaran	"Jl. Raya Pangandaran Km 3, Desa Babakan"	-7.672965339000000	108.680064900000005	Museum Khusus	Belom Memenuhi Standar	Dinas Kesehatan Kabupaten Ciamis dan dikelola oleh Unit Pengelola Teknis Museum Nyamuk Litbang P2B2 Ciamis	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\78.jpg	4000.000000000000000	56.000000000000000
79	"79"	"79"	Museum Palagan Perjuangan 1945 Bojongkokosan	jawa barat	Sukabumi	Jalan Siliwangi No. 75	-6.826018266000000	106.759893700000006	Museum Khusus	Tipe B	"kepada Dinas Pariwisata, Kebudayaan, Pemuda, dan Olahraga Kabupaten Sukabumi"	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\79.jpg	20000.000000000000000	45.000000000000000
80	"80"	"80"	Museum Pangeran Cakrabuana	jawa barat	Cirebon	Jalan Sunan Drajat No. 9	-6.762325147000000	108.478247199999998	Museum Khusus	Belom di standarisasi	"Dinas Kebudayaan, Pariwisata, Pemuda, dan Olahraga Kabupaten Cirebon."	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\80.jpg	16000.000000000000000	34.000000000000000
81	"81"	"81"	Museum Pendidikan Nasional Universitas Pendidikan Indonesia (Mupenas)	jawa barat	Kota Bandung	Jalan Dr. Setiabudhi No. 229	-6.859737829000000	107.594796599999995	Museum Khusus	Tipe A	"Prof. Dr. Leli Yulifar, M.Pd."	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\81.jpg	32000.000000000000000	23.000000000000000
82	"82"	"82"	Museum Perbendaharaan	jawa barat	Kota Bandung	Jalan Diponegoro No. 59	-6.900516624000000	107.623742800000002	Museum Khusus	Belom di standarisasi	Direktorat Jenderal Perbendaharaan	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\82.jpg	800.000000000000000	67.000000000000000
83	"83"	"83"	Museum Perjuangan Bogor	jawa barat	Kota Bogor	Jalan Merdeka No. 56	-6.592612353000000	106.791256399999995	Museum Khusus	Tipe C	Dinas Pariwisata dan Kebudayaan Kota Bogor	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\83.jpg	400.000000000000000	55.000000000000000
84	"84"	"84"	Museum Pos Indonesia	jawa barat	Kota Bandung	Jl. Cilaki No.73	-6.901294621000000	107.623005500000005	Museum Khusus	Belom Memenuhi Standar	PT.Pos Indonesia	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\84.jpg	12000.000000000000000	44.000000000000000
85	"85"	"85"	Museum Prabu Geusan Ulun	jawa barat	Sumedang	Jl.Prabu Geusan Ulun No. 40	-6.860815689000000	107.921468500000003	Museum Khusus	Tipe C	Yayasan Pangeran Sumedang	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\85.jpg	25000.000000000000000	33.000000000000000
86	"86"	"86"	Museum Pusaka Keraton Kasepuhan	jawa barat	Kota Cirebon	Jalan Kasepuhan No. 43	-6.711919940000000	108.566516500000006	Museum Khusus	Tipe A	Keraton Kasepuhan	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\86.jpg	45000.000000000000000	44.000000000000000
87	"87"	"87"	Museum Rumah Sejarah Kalijati	jawa barat	Subang	"Komplek Garuda E25 Lanud Suryadarma, Jalan Kalijati Barat"	-6.523886884000000	107.661968999999999	Museum Khusus	Tipe	Dinas Pendidikan dan Kebudayaan Kabupaten Subang	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\87.jpg	1200.000000000000000	55.000000000000000
88	"88"	"88"	Museum Sejarah Sunda Prabu Siliwangi	jawa barat	Sukabumi	Jl. Merbabu Perum Gading Kencana Asri	-6.906530232000000	106.911858699999996	Museum Umum	Tipe C	"RH. Erwin Hendarwin, SE., MBA., MM., Ph.D"	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\88.jpg	3120.000000000000000	44.000000000000000
89	"89"	"89"	"Museum Situs Cagar Budaya Batujaya,"	jawa barat	Karawang	"Jalan Candi Jiwa, Dusun Sumurjaya, RT.11/RW.04"	-6.056526735000000	107.158319399999996	Museum Khusus	Tipe A	Dinas Kebudayaan dan Pariwisata Provinsi Jawa Barat	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\89.jpg	6000.000000000000000	55.000000000000000
90	"90"	"90"	Museum Talaga Manggung	jawa barat	Majalengka	Jl. Talaga Majalengka No. 1	-6.984981155000000	108.311513399999995	Museum Khusus	Tipe A	Yayasan Talaga Manggung	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\90.jpg	500.000000000000000	44.000000000000000
91	"91"	"91"	Museum Taman Purbakala	jawa barat	Kuningan	Jl. Museum Taman Purbakala	-6.962369998000000	108.470323300000004	Museum Khusus	Tipe A	Dinas Kebudayaan dan Pariwisata Kabupaten Kuningan	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\91.jpg	400.000000000000000	55.000000000000000
92	"92"	"92"	Museum Tanah dan Pertanian	jawa barat	Kota Bogor	"Jl. Ir. H. Juanda No. 98,"	-6.603490040000000	106.798726000000002	Museum Khusus	Tioe A	Kementerian Pertanian Republik Indonesia	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\92.jpg	13000.000000000000000	67.000000000000000
93	"93"	"93"	Museum Universitas Galuh	jawa barat	Ciamis	Jl. R. E. Martadinata No. 150	-7.313932736000000	108.356323099999997	Museum Umum	Tipe A	"Program Studi Sejarah, Fakultas Keguruan dan Ilmu Pendidikan"	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\93.jpg	12000.000000000000000	56.000000000000000
94	"94"	"94"	Museum Zoologi Bogor	jawa barat	Kota Bogor	Jl. Ir. H. Juanda No. 9	-6.602718156000000	106.800069500000006	Museum Khusus	Tipe A	Badan Riset dan Inovasi Nasional	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\94.jpg	300.000000000000000	4.000000000000000
95	"95"	"95"	Museum Kereta Api Ambarawa	jawa Tengah	Semarang	"Jl. Stasiun No.1, Panjang Kidul, Panjang"	-7.264469123000000	110.405586000000000	Museum Khusus	Tipe A	KAI Wisata	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\95.jpg	11000.000000000000000	45.000000000000000
96	"96"	"96"	Monumen Pers Nasional	jawa Tengah	Kota Surakarta	Jl. Gajahmada No.59	-7.564250705000000	110.815427299999996	Museum khusus	Tipe B	Kementerian Komunikasi dan Informatika Republik Indonesia	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\96.jpg	10000.000000000000000	45.000000000000000
97	"97"	"97"	Museum Rekor Dunia Indonesia	jawa Tengah	Kota Semarang	Jl. Perintis Kemerdekaan No.275	-6.959602028000000	110.726108400000001	Museum Khusus	Tipe A	MURI – Museum Rekor Dunia Indonesia	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\97.jpg	32000.000000000000000	21.000000000000000
98	"98"	"98"	Museum Bank Rakyat Indonesia	jawa Tengah	Banyumas	Jl. Jend. Sudirman No.57	-7.423747937000000	109.226033799999996	museum khusus	Tipe A	Sekretaris Perusahaan BRI	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\98.jpg	19000.000000000000000	22.000000000000000
99	"99"	"99"	Museum Batik Pekalongan	jawa Tengah	Pekalongan	Jl. Jetayu No.3	-6.877916984000000	109.678781099999995	Museum Khusus	Tipe B	Unit Pelaksana Teknis Daerah (UPTD) Museum Batik	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\99.jpg	22000.000000000000000	12.000000000000000
100	"100"	"100"	Museum BPK RI	jawa Tengah	Kota Magelang	Jl. Pangeran Diponegoro No.1	-7.473976891000000	110.217429100000004	Museum Khusus	Tipe A	Unit Pelaksana Teknis Museum BPK	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\100.jpg	50000.000000000000000	23.000000000000000
101	"101"	"101"	Museum Bumiputera 1912	jawa Tengah	Kota Magelang	Jl. Ahmad Yani Jl. Poncol No.21	-7.472357642000000	110.217890800000006	Museum Khusus	Tipe A	AJB Bumiputera 1912	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\101.jpg	3000.000000000000000	23.000000000000000
102	"102"	"102"	Museum OHD (Oei Hong Djien)	jawa Tengah	Kota Magelang	Jl. Jenggolo No.14	-7.481161130000000	110.219890500000005	Museum Khusus	Tipe A	Dr. Oei Hong Djien	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\102.jpg	12000.000000000000000	12.000000000000000
103	"103"	"103"	Museum Glagah Wangi	jawa Tengah	Demak	Jalan Sultan Fatah No. 53	-6.895909930000000	110.636763700000003	Museum Khusus	Tipe A	Unit Pelaksana Teknis Daerah	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\103.jpg	2000.000000000000000	10.000000000000000
104	"104"	"104"	"Museum, Guesthouse & Creative Space Nyah Lasem"	jawa Tengah	Rembang	"Gang Karangturi V No. 2, Desa Karangturi,"	-6.700849938000000	111.447798800000001	Museum Khusus	Tipe A	A. Soesantio dan dikelola oleh Yayasan Lasem Heritage	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\104.jpg	3000.000000000000000	23.000000000000000
105	"105"	"105"	Museum H. Widayat	jawa Tengah	Magelang	Jl. Soekarno Hatta No.32	-7.600051674000000	110.224291199999996	Museum Khusus	Tipe A	PT Haji Widayat	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\105.jpg	5120.000000000000000	54.000000000000000
106	"106"	"106"	Museum Isdiman	jawa Tengah	Semarang	"Jl. Panjang Lor, Panjang, Kec. Ambarawa, Kabupaten Semarang, Jawa Tengah 50614"	-7.259852450000000	110.402721799999995	Museum Khusus	Tipe A	Unit Pelaksana Teknis Daerah	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\106.jpg	3120.000000000000000	6.000000000000000
107	"107"	"107"	Museum Jamu Jago	jawa Tengah	Kota Semarang	Jl. Dr. Setiabudi No.179	-7.064121348000000	110.399972199999993	Museum Khusus	Tipe A	Jaya Suprana	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\107.jpg	6000.000000000000000	7.000000000000000
108	"108"	"108"	Museum Ranggawarsita	jawa Tengah	Kota Semarang	Jalan Abdulrahman Saleh No. 1	-6.985239058000000	110.385021199999997	Museum Umum	Tipe A	Pemerintah Provinsi Jawa Tengah	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\108.jpg	1200.000000000000000	15.000000000000000
109	"109"	"109"	Museum Kailasa	jawa Tengah	Banjarnegara	"Karangsari, Dieng Kulon, Kecamatan Batur, Kabupaten Banjarnegara"	-7.208266488000000	109.905821299999999	Museum Umum	Tipe A	Pemerintah Kabupaten Banjarnegara	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\109.jpg	400.000000000000000	25.000000000000000
110	"110"	"110"	Museum Kapal Samudra Raksa	jawa Tengah	Magelang	"Jl. Badrawati, Kw. Candi Borobudur"	-7.604505195000000	110.203908699999999	Museum Khusus	Tipe A	"PT Taman Wisata Candi Borobudur, Prambanan & Ratu Boko"	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\110.jpg	15000.000000000000000	56.000000000000000
111	"111"	"111"	Museum Karmawibangga Taman Wisata Candi Borobudur	jawa Tengah	Magelang	"Jl. Badrawati, Kw. Candi Borobudur"	-7.603949320000000	110.204334299999999	Museum Khusus	Tipe A	"PT Taman Wisata Candi Borobudur,"	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\111.jpg	14000.000000000000000	45.000000000000000
112	"112"	"112"	Museum Karst Indonesia	jawa Tengah	Wonogiri	"Desa Gebangharjo, Kecamatan Pracimantoro, Kabupaten Wonogiri, Jawa Tengah"	-8.041325389000002	110.781775199999998	Museum Khusus	Tipe A	Pemerintah Kabupaten Wonogiri	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\112.jpg	300.000000000000000	34.000000000000000
113	"113"	"113"	Museum Keris Nusantara	jawa Tengah	Kota Surakarta	Jalan Bhayangkara No. 2	-7.568393078000000	110.812395699999996	Museum Khusus	Tipe A	Dinas Kebudayaan Kota Surakarta	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\113.jpg	11000.000000000000000	33.000000000000000
114	"114"	"114"	Museum Kretek	jawa Tengah	Kudus	Jalan Getas Pejaten No. 155	-6.826568543000000	110.839124400000003	Museum Khusus	Tipe A	Dinas Kebudayaan dan Pariwisata Kabupaten Kudus	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\114.jpg	1000.000000000000000	55.000000000000000
115	"115"	"115"	Museum Mahameru Blora	jawa Tengah	Blora	"Jalan Reksodiputro, Kompleks Taman Tirtonadi"	-6.974100502000000	111.418141399999996	Museum Khusus	Tipe A	Yayasan Mahameru	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\115.jpg	40000.000000000000000	24.000000000000000
116	"116"	"116"	Museum Manusia Purba Klaster	jawa Tengah	Sragen	"Kecamatan Kalijambe, Kabupaten Sragen"	-7.441192030000000	110.838472199999998	Museum Khusus	Tipe A	Balai Pelestarian Situs Manusia Purba Sangiran	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\116.jpg	17000.000000000000000	45.000000000000000
117	"117"	"117"	Museum Masjid Agung Demak	jawa Tengah	Demak	Jalan Sultan Patah No. 57	-6.894326678000000	110.637113700000000	Museum Khusus	Tipe A	Dinas Kebudayaan dan Pariwisata Kabupaten Demak	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\117.jpg	17000.000000000000000	34.000000000000000
118	"118"	"118"	Museum Misi Muntilan	jawa Tengah	Magelang	Jl. Kartini No.3	-7.581503857000000	110.293577400000004	Museum Khusus	Tipe A	Keuskupan Agung Semarang	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\118.jpg	798.000000000000000	70.000000000000000
119	"119"	"119"	Museum Panglima Besar Jenderal Sudirman	jawa Tengah	Banyumas	"Jl. Patimura No.240A, RW.1, Dusun II"	-7.419594408000000	109.196787400000005	Museum Khusus	Tipe A	Pemerintah Kabupaten Banyumas	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\119.jpg	800.000000000000000	90.000000000000000
120	"120"	"120"	Museum Perjuangan Mandala Bhakti	jawa Tengah	Kota Semarang	Jalan Mgr Soegijapranata No.1	-6.984579160000000	110.409881900000002	Museum Khusus	Tipe A	"Kodam IV/Diponegoro,"	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\120.jpg	400.000000000000000	48.000000000000000
121	"121"	"121"	Museum Prof. Dr. R. Soegarda Poerbakawatja	jawa Tengah	Purbalingga	Jl. Purbalingga - Klampok No.142	-7.388282160000000	109.362168699999998	Museum Khusus	Tipe A	Dinas Pendidikan dan Kebudayaan Kabupaten Purbalingga	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\121.jpg	7500.000000000000000	50.000000000000000
122	"122"	"122"	Museum R. Hamong Wardoyo	jawa Tengah	Boyolali	"Jl. Pandanaran No.19,"	-7.538765087000000	110.617355099999997	Museum Umum	Tipe A	Pemerintah Kabupaten Boyolali	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\122.jpg	3000.000000000000000	25.000000000000000
123	"123"	"123"	Museum RA Kartini Jepara	jawa Tengah	Jepara	"Jl. Kartini, Panggang I"	-6.588663282000000	110.668288300000000	Museum Umum	Tipe C	Dinas Pariwisata dan Kebudayaan Kabupaten Jepara	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\123.jpg	12000.000000000000000	5.000000000000000
124	"124"	"124"	Museum R.A. Kartini Rembang	jawa Tengah	Rembang	Jl. Gatot Subroto No.8	-6.707088439000000	111.351325500000002	Museum Khusus	Tipe C	Dinas Kebudayaan dan Pariwisata Kabupaten Rembang	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\124.jpg	1200.000000000000000	7.000000000000000
125	"125"	"125"	Museum Radya Pustaka	jawa Tengah	Kota Surakarta	Jl. Slamet Riyadi No.275	-7.568313368000000	110.815301599999998	Museum Umum	Tipe C	Yayasan Paheman Radya Pustaka Surakarta	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\125.jpg	3000.000000000000000	76.000000000000000
126	"126"	"126"	Museum Situs Purbakala Patiayam	jawa Tengah	Kudus	"Desa Terban, Kecamatan Jekulo, Kabupaten Kudus, Jawa Tengah"	-6.793725898000000	110.938930200000001	Museum Khusus	Tipe C	Dinas Kebudayaan dan Pariwisata Kabupaten Kudus	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\126.jpg	5120.000000000000000	34.000000000000000
127	"127"	"127"	Museum Soesilo Soedarman	jawa Tengah	Cilacap	"Desa Gentasari, Kecamatan Kroya, Kabupaten Cilacap, Jawa Tengah"	-7.600291332000000	109.212483800000001	Museum Khusus	Tipe C	Yayasan Museum Soesilo Soedarman	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\127.jpg	3120.000000000000000	24.000000000000000
128	"128"	"128"	Museum Taruna Abdul Djalil	jawa Tengah	Kota Magelang	Jl. Jend. Gatot Soebroto No.1	-7.500175774000000	110.210040199999995	Museum Khusus	Tipe C	Akademi Militer (Akmil)	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\128.jpg	6000.000000000000000	34.000000000000000
129	"129"	"129"	Museum Tosan Aji	jawa Tengah	Purwerojo	Jl. Mayjen Sutoyo No.10	-7.710890683000000	110.010368200000002	Museum Khusus	Tipe C	Pemerintah Kabupaten Purworejo	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\129.jpg	500.000000000000000	56.000000000000000
130	"130"	"130"	Museum Uang Purbalingga	jawa Tengah	Purbalingga	"Jalan Raya Kutasari-Tobo, Dusun II"	-7.355707380000000	109.331270000000004	Museum Khusus	Tipe C	Pemerintah Daerah Kabupaten Purbalingga dan dikelola oleh Dinas Pariwisata dan Kebudayaan Kabupaten Purbalingga	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\130.jpg	400.000000000000000	45.000000000000000
131	"131"	"131"	Museum Universitas Sebelas Maret (Museum UNS)	jawa Tengah	Surakarta	Gedung R.Ng. Ranggawarsita	-7.556828872000000	110.860110300000002	Museum Khusus	Tipe C	UNS melalui Pusat Unggulan Iptek (PUI) Javanologi	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\131.jpg	13000.000000000000000	34.000000000000000
132	"132"	"132"	Museum Usman Janatin	jawa Tengah	Purbalingga	"Jalan Letnan Kusni No. 77, Dusun 3"	-7.402437093000000	109.397129899999996	Museum Khusus	Tipe C	Keluarga Usman Janatin	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\132.jpg	12000.000000000000000	23.000000000000000
133	"133"	"133"	Museum Wayang dan Artefak Purbalingga	jawa Tengah	Purbalingga	"Jalan Raya Taman Reptil, Dusun II, Desa Kutasari"	-7.356238685000000	109.330423400000001	Museum Khusus	Tipe C	Unit Pelaksana Teknis (UPT) PD Owabong	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\133.jpg	300.000000000000000	67.000000000000000
134	"134"	"134"	Museum Wayang Banyumas	jawa Tengah	Banyumas	Jl. Budi Utomo No.1	-7.514612005000000	109.294831299999998	Museum Khusus	Tipe C	"Dinas Pemuda, Olahraga, Kebudayaan, dan Pariwisata"	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\134.jpg	11000.000000000000000	55.000000000000000
135	"135"	"135"	Tumurun Private Museum	jawa Tengah	Surakarta	"Jl. Kebangkitan Nasional No. 2/4,"	-7.570289548000000	110.816733400000004	Museum Khusus	Tipe C	PT Sri Rejeki Isman	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\135.jpg	10000.000000000000000	44.000000000000000
136	"136"	"136"	Monumen Yogya Kembali	D.I Yogyakarta	Siemen	"Jl. Ring Road Utara, Jongkang"	-7.748782455000000	110.372439200000002	Museum Khusus	Tipe B	TNI Angkatan Udara	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\136.jpg	4000.000000000000000	33.000000000000000
137	"137"	"137"	Museum Affandi	D.I Yogyakarta	Kabupaten Sleman	Jl. Laksda Adisucipto No.167	-7.782027879000000	110.398201900000004	Museum Khusus	Tipe B	Yayasan Affandi	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\137.jpg	20000.000000000000000	44.000000000000000
138	"138"	"138"	Museum Bahari Yogyakarta	D.I Yogyakarta	Kabupaten Bantul	Jl. R. E. Martadinata No.69	-7.800949260000000	110.348957499999997	Museum Khusus	Belom Memenuhi Standar	Paguyuban Tri Sekar Lestari bekerja sama dengan Pangkalan TNI AL	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\138.jpg	16000.000000000000000	55.000000000000000
139	"139"	"139"	Museum Benteng Vredeburg	D.I Yogyakarta	Kota Yogyakarta	Jl. Margo Mulyo No.6	-7.799970706000000	110.367564999999999	Museum Khusus	Tipe A	Museum Benteng Vredeburg Yogyakarta dikelola oleh Indonesian Heritage Agency	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\139.jpg	32000.000000000000000	44.000000000000000
140	"140"	"140"	Museum Biologi Fakultas Biologi Universitas Gadjah Mada	D.I Yogyakarta	Kota Yogyakarta	Jl. Sultan Agung No.22	-7.801533777000000	110.374683099999999	Museum Khusus	Tipe A	Fakultas Biologi UGM	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\140.jpg	800.000000000000000	55.000000000000000
141	"141"	"141"	Museum Dewantara Kirti Griya	D.I Yogyakarta	Kota Yogyakarta	Jl. Taman Siswa No. 31	-7.805217633000000	110.379174399999997	Museum Khusus	Tipe A	"Majelis Luhur Persatuan Tamansiswa, dengan staf bidang pendidikan dan kebudayaan"	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\141.jpg	400.000000000000000	44.000000000000000
142	"142"	"142"	Museum Geoteknologi Mineral	D.I Yogyakarta	Kabupaten Sleman	Jl. Babarsari No. 2	-7.781465831000000	110.415135399999997	Museum Khusus	Tipe A	"Fakultas Teknologi Mineral dan Energi UPN ""Veteran"" Yogyakarta"	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\142.jpg	12000.000000000000000	55.000000000000000
143	"143"	"143"	Museum Gumuk Pasir	D.I Yogyakarta	Kabupaten Bantul	"Depok, Parangtritis, Kec. Kretek, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55772"	-8.009043329000002	110.302585500000006	Museum Khusus	Tipe A	"Badan Informasi Geospasial (BIG), Fakultas Geografi Universitas Gadjah Mada (UGM), dan Pemerintah Daerah Istimewa Yogyakarta."	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\143.jpg	25000.000000000000000	67.000000000000000
144	"144"	"144"	Museum Gunungapi Merapi	D.I Yogyakarta	Kabupaten Sleman	Jl. Kaliurang No.Km. 22	-7.615748093000000	110.424638700000003	Museum Khusus	Tipe A	"UPTD Museum Gunungapi Merapi, di bawah Pemerintah Kabupaten Sleman dan Badan Geologi"	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\144.jpg	45000.000000000000000	56.000000000000000
145	"145"	"145"	Museum Kayu Wanagama	D.I Yogyakarta	Kabupaten Gunungkidul	"Hutan Wisata Wanagama, Desa Bunder, Playen, Gunungkidul, Yogyakarta"	-7.893238313000000	110.547475899999995	Museum Khusus	Tipe A	Fakultas Kehutanan Universitas Gadjah Mada	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\145.jpg	1200.000000000000000	4.000000000000000
146	"146"	"146"	Museum Kereta Kraton Yogyakarta	D.I Yogyakarta	Kota Yogyakarta	"Jl. Rotowijayan, Kadipaten"	-7.805286300000000	110.362289500000003	Museum Khusus	Tipe A	Kesultanan Ngayogyakarta Hadiningrat	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\146.jpg	3120.000000000000000	45.000000000000000
